date,order_id,customer_id,sport,revenue,profit,shipping_cost,rating
1/1/22,10001,102278,Baseball,183.60,97.29,0,
1/1/22,10002,102279,Basketball,185.76,103.40,0,
1/1/22,10003,102280,Basketball,128.16,66.27,0,
1/1/22,10004,102281,Hockey,45.62,15.46,7,
1/1/22,10005,102282,Football,106.30,21.75,0,
1/1/22,10006,102283,Football,58.11,12.08,0,3
1/1/22,10007,102284,Soccer,214.04,70.41,0,2
1/1/22,10008,102285,Basketball,37.29,2.55,7,
1/1/22,10009,102286,Baseball,56.19,17.26,0,2
1/1/22,10010,102287,Soccer,178.28,56.29,0,
1/2/22,10011,102288,Football,20.94,4.71,7,5
1/2/22,10012,102289,Hockey,134.35,47.07,0,2
1/2/22,10013,102290,Football,173.17,58.25,0,2
1/2/22,10014,102291,Hockey,121.07,33.73,0,
1/2/22,10015,102292,Basketball,210.98,74.53,0,
1/2/22,10016,102293,Basketball,186.97,60.80,0,2
1/2/22,10017,102294,Baseball,57.64,10.80,0,
1/2/22,10018,102295,Hockey,14.61,2.82,7,
1/2/22,10019,102296,Soccer,19.39,1.44,7,
1/3/22,10020,102297,Baseball,86.60,16.26,0,
1/3/22,10021,102298,Football,87.93,19.14,0,1
1/3/22,10022,102299,Football,60.30,12.80,0,
1/3/22,10023,102300,Soccer,35.86,7.34,7,5
1/3/22,10024,102301,Baseball,72.25,16.19,0,
1/4/22,10025,102302,Football,82.35,18.70,0,
1/4/22,10026,102303,Basketball,65.61,13.05,0,
1/4/22,10027,102304,Football,75.97,15.06,0,
1/4/22,10028,102305,Hockey,82.61,16.07,0,
1/4/22,10029,102306,Hockey,103.86,20.33,0,3
1/4/22,10030,102307,Soccer,120.48,29.21,0,
1/4/22,10031,102308,Basketball,30.92,7.87,7,
1/4/22,10032,102309,Basketball,188.22,53.08,0,
1/4/22,10033,102310,Football,306.68,119.69,0,
1/4/22,10034,102311,Football,220.71,84.13,0,3
1/4/22,10035,102312,Football,161.24,66.38,0,
1/5/22,10036,102313,Football,248.62,108.12,0,
1/5/22,10037,102314,Hockey,136.27,45.76,0,
1/5/22,10038,102315,Hockey,325.60,133.27,0,
1/5/22,10039,102316,Baseball,117.55,47.78,0,
1/5/22,10040,102317,Soccer,218.45,95.05,0,
1/5/22,10041,102318,Hockey,156.32,60.38,0,4
1/5/22,10042,102319,Baseball,358.11,135.63,0,4
1/5/22,10043,102320,Baseball,138.32,54.25,0,
1/5/22,10044,102321,Hockey,117.47,25.38,0,3
1/5/22,10045,102322,Basketball,229.26,83.57,0,
1/5/22,10046,102323,Baseball,340.11,149.20,0,5
1/6/22,10047,102324,Hockey,120.32,46.81,0,
1/6/22,10048,102325,Basketball,205.58,65.63,0,1
1/6/22,10049,102326,Hockey,216.95,72.19,0,
1/6/22,10050,102327,Hockey,297.48,113.76,0,5
1/6/22,10051,102328,Soccer,52.11,-6.56,0,
1/6/22,10052,102329,Baseball,148.74,57.75,0,
1/6/22,10053,102330,Basketball,149.49,55.91,0,2
1/6/22,10054,102331,Football,342.28,148.24,0,
1/6/22,10055,102332,Football,391.77,181.07,0,5
1/7/22,10056,102333,Hockey,227.84,84.13,0,
1/7/22,10057,102334,Soccer,337.13,131.32,0,5
1/7/22,10058,102335,Hockey,176.30,53.86,0,
1/7/22,10059,102336,Hockey,218.57,93.36,0,
1/7/22,10060,102337,Basketball,123.72,37.96,0,
1/7/22,10061,102338,Hockey,146.22,40.48,0,
1/7/22,10062,102339,Baseball,141.99,40.48,0,
1/7/22,10063,102340,Basketball,129.32,30.98,0,
1/8/22,10064,102341,Soccer,235.81,78.50,0,
1/8/22,10065,102342,Basketball,132.70,41.54,0,
1/8/22,10066,102343,Basketball,295.82,120.04,0,
1/9/22,10067,102344,Baseball,180.87,63.37,0,3
1/9/22,10068,102345,Hockey,185.10,74.28,0,5
1/9/22,10069,102346,Hockey,101.42,32.74,0,
1/9/22,10070,102347,Basketball,32.96,2.82,7,
1/9/22,10071,102348,Football,37.19,5.98,7,1
1/9/22,10072,102349,Basketball,320.33,110.89,0,3
1/9/22,10073,102350,Football,45.64,0.70,7,
1/9/22,10074,102351,Soccer,305.69,107.48,0,1
1/10/22,10075,102352,Baseball,283.62,102.77,0,
1/10/22,10076,102353,Football,264.00,88.62,0,4
1/11/22,10077,102354,Hockey,34.33,-1.01,7,
1/11/22,10078,102355,Baseball,48.22,-2.02,7,5
1/11/22,10079,102356,Baseball,49.04,18.19,0,
1/11/22,10080,102357,Hockey,58.85,10.45,0,
1/11/22,10081,102358,Football,311.41,118.27,0,1
1/11/22,10082,102359,Hockey,284.44,105.13,0,
1/11/22,10083,102360,Hockey,24.52,7.75,7,
1/11/22,10084,102361,Basketball,85.00,16.51,0,
1/11/22,10085,102362,Basketball,276.26,100.75,0,
1/12/22,10086,102363,Baseball,297.51,114.90,0,1
1/12/22,10087,102364,Hockey,228.04,90.64,0,2
1/12/22,10088,102365,Football,32.82,-1.01,7,4
1/12/22,10089,102366,Football,87.53,25.75,0,
1/12/22,10090,102367,Baseball,237.83,78.65,0,3
1/12/22,10091,102368,Baseball,145.69,42.24,0,
1/12/22,10092,102369,Football,116.32,27.16,0,
1/12/22,10093,102370,Hockey,82.92,24.34,0,
1/12/22,10094,102371,Football,199.82,61.35,0,
1/12/22,10095,102372,Football,112.87,31.78,0,5
1/13/22,10096,102373,Baseball,94.44,22.93,0,2
1/13/22,10097,102374,Soccer,25.91,1.41,7,1
1/13/22,10098,102375,Hockey,77.74,23.13,0,
1/13/22,10099,102376,Football,173.91,50.89,0,
1/13/22,10100,102377,Soccer,138.21,44.66,0,
1/14/22,10101,102378,Baseball,171.03,48.48,0,3
